Tweet Date,Posted By,Posted By Profile Pic,Posted By Profile URL,Posted By Twitter Handle,tweet_url,Content,tags,Comments,Media
"02:28 PM, Sep 07, 2023",RyanAFournier,https://static.getdewey.co/upload/956d268c85f94f04bce7749e8539ff48.jpg,https://twitter.com/RyanAFournier/,RyanAFournier,https://twitter.com/RyanAFournier/status/1699791745318605121,"Woah.

Enrique Tarrio just made a BOMBSHELL allegation that the Feds told him to lie about President Trump in order to help them seal an indictment.

If true, this means that the government was actively working to coerce defendants into turning on Trump, even if the accusations… https://t.co/Ncwh9tkYuC","corrupt_us_system, augmented_reality,new_tweet",,
"08:10 PM, Oct 08, 2023",balajis,https://static.getdewey.co/upload/82cd4d035f7f4cb1a76bfc39a90f9dec.jpg,https://twitter.com/balajis/,balajis,https://twitter.com/balajis/status/1711111823787970822,"AMERICA 2.0

A quick response to @ramahluwalia and @Noahpinion’s posts.

First, it’s not “fashionable” to predict the decline of the US. It’s both (a) extremely non-consensus and (b) tragic for everyone that remembers the functional version of an incredible country.

Second, it’s… https://t.co/6s4nn9C4pf https://t.co/4ach2cjn52 https://t.co/eRNDdosleg","global_finance, miscellaneous,new_tweet",,https://static.getdewey.co/upload/89564c10b6e54c2f8ac18ac8eb49038a.jpg;https://static.getdewey.co/upload/5010b367f5104be29ee6bd250d75ed54.jpg;https://static.getdewey.co/upload/16db734e4a2147d89c9ed531d5b2b8af.jpg;https://static.getdewey.co/upload/f730c39d3d034dccadd72db6a527924a.jpg
"06:50 AM, Jul 10, 2023",Pledditor,https://static.getdewey.co/upload/0fd37759f2bb478c9ee3db641d5c2096.png,https://twitter.com/Pledditor/,Pledditor,https://twitter.com/Pledditor/status/1678295545683558400,"DELETED: the @brian_armstrong archive

@brian_armstrong has deleted most of his tweets and the WayBackMachine has deleted their achive of all of them as well.

The goal of this thread is find links via alternative archival services to all his old tweets. https://t.co/9pz1Fhtdxx","bitcoin_and_crypto, augmented_reality,new_tweet",,https://static.getdewey.co/upload/b7682b1850574ea798dfd828ec2aa5f2.png
"07:12 PM, Feb 22, 2022",RudyHavenstein,https://static.getdewey.co/upload/200f4a3751d9487da6c6f2c50b304aca.jpg,https://twitter.com/RudyHavenstein/,RudyHavenstein,https://twitter.com/RudyHavenstein/status/1496201169475182595,"""The evil of aristocracy is not that it necessarily leads to the infliction of bad things or the suffering of sad ones; the evil of aristocracy is that it places everything in the hands of a class of people who can always inflict what they can never suffer.""

- Chesterton https://t.co/QAu8iXxwI3","augmented_reality,new_tweet",,https://static.getdewey.co/upload/d8a7354c364a435b97dd4a201e14b1ae.jpg
"10:43 PM, Sep 07, 2023",PunishDem1776,https://static.getdewey.co/upload/938465389fcd42efa8f3c298a6ade59e.jpg,https://twitter.com/PunishDem1776/,PunishDem1776,https://twitter.com/PunishDem1776/status/1699916353711243610,"This was before the “Attack”

What are the odds…. https://t.co/9TE6YAxOZW https://t.co/BoUDKHZlgN","911, augmented_reality,new_tweet",,https://video.twimg.com/amplify_video/1699916298241667072/vid/avc1/360x270/fizXPWSdxAb60Wha.mp4?tag=14
"11:07 AM, Oct 09, 2023",JonathanTurley,https://static.getdewey.co/upload/207e8c7a64e24a4c955043c342baf8ec.jpg,https://twitter.com/JonathanTurley/,JonathanTurley,https://twitter.com/JonathanTurley/status/1711337539099861496,"Newly released evidence reveals over $20 million coming from 23 separate countries on four continents to at least nine Biden family members. Not only are the Biden transfers becoming clear, so is the Biden family tree in this lucrative form of corruption. https://t.co/8wC59VFUy4","civil_liberty, augmented_reality,new_tweet",,
"03:21 AM, Oct 11, 2023",MZHemingway,https://static.getdewey.co/upload/d9cf000f3e57442e9139c41de4fdcb43.png,https://twitter.com/MZHemingway/,MZHemingway,https://twitter.com/MZHemingway/status/1711945096369668519,"As VP, Joe Biden Emailed His Brother And Son About Foreign Business More Than 29,000 Times https://t.co/ogudxFe48m","hunter_biden, ai_and_technology,new_tweet",,
"02:08 AM, Oct 12, 2023",MaxBlumenthal,https://static.getdewey.co/upload/042f21a77ee84538996fc328c07b785c.png,https://twitter.com/MaxBlumenthal/,MaxBlumenthal,https://twitter.com/MaxBlumenthal/status/1712288984284516594,"It should have been obvious that when Biden ""confirmed"" the photos, there was no evidence at all. 

What Biden has done by repeating Bibi's Big Lie is give Israel more latitude to decimate what's left of Gaza and massacre as many babies as it wants. 

Biden must resign. https://t.co/J8DfqpWPuW","israel_palestine_conflict,new_tweet",,
"01:30 PM, Sep 07, 2023",ScottAdamsSays,https://static.getdewey.co/upload/03eb4fc75dfc4c19887fe741135cb02b.jpg,https://twitter.com/ScottAdamsSays/,ScottAdamsSays,https://twitter.com/ScottAdamsSays/status/1699777155918692549,"Here's your mindbender for the day.

@RobertKennedyJr distrusts big pharma.

He also has a voice disorder called spasmodic dysphonia. I once had the same disorder.

My voice problem was cured by surgery. I got the surgery after interviewing others who had been cured the same way.… https://t.co/G3MYW2iCfr https://t.co/pZemmrYtRC","augmented_reality, big_pharma,new_tweet",,https://static.getdewey.co/upload/3e2621d31d1740ebbc9820a251c1003f.png
"07:34 PM, Sep 26, 2023",Inversionism,https://static.getdewey.co/upload/08b40c9c550f45b4861a78f4a67baca8.png,https://twitter.com/Inversionism/,Inversionism,https://twitter.com/Inversionism/status/1706754071451885753,"If you thought the fraud, corruption, and horrid science around vaccines was bad, then you haven't done adequate investigation into nutrition science and which bad actors are responsible for the widely accepted propaganda on it. Carnegie, Rockefeller, Gates, and all the other same bad actors involved in depopulation and climate change agendas, all tell you to be plant based or vegan. Shouldn't this raise suspicion for you?  

I swear with every fiber of my being (pun intended lol), plant based diets low in animal foods are apart of an agenda to destroy your fertility and further facilitate vaccine induced autoimmune disease to make you a more profitable asset for the medical system and reduce the population. You don't have as many kids if you're constantly ill, and you shovel many of your dollars to doctors for pills and treatments that mask symptoms and don't fix the underlying problem.  

There are an inordinate amount of people now who have had life long food allergies and autoimmune conditions vanish in a week by just cutting out certain plant foods. @MikhailaFuller and @jordanbpeterson are the two most well known examples, and there are many many more people like them, including myself. 

Humans are carnivorous first, omnivorous second. Plant foods are medicine and additional calories, but they are not the foundation of our diet like we're propagandized to believe. Meat, eggs, seafood, and dairy are the true foundation. Some people can tolerate plant foods without issue and they should be very grateful for that. There are many others, knowingly or unknowingly, who are suffering tremendously and wasting all their money at doctors because of 1 single plant food in their diet triggering autoimmunity or some other symptom.

The spinach you eat could be causing your joint pain. 

The kale could be nuking your thyroid health. 

The grains could be causing your crohn's or IBS. 

Listen to this lecture from Mikhaila and understand there are so many people just like her who have been destroyed by the medical system with plant foods continually making it worse. 

Autoimmunity is a hidden epidemic that more people need to talk about and be aware of.","augmented_reality, environment, ai_and_technology, health, big_pharma, science,new_tweet",,https://video.twimg.com/amplify_video/1706753162286120960/vid/avc1/1280x720/F7R0_JE5Wn3v8SQH.mp4?tag=14
"05:01 AM, Sep 17, 2023",gunthertree2,https://static.getdewey.co/upload/6831dca87e8b4aa38b88b63f365f6396.jpg,https://twitter.com/gunthertree2/,gunthertree2,https://twitter.com/gunthertree2/status/1703273058184618140,"Watch: Did You Know? How John D. Rockefeller Founded Modern Medicine And Took Away Natural Cures: 

“Any mention of the healing powers of herbs, plants, and diet was erased from most medical textbooks.”

Doctors and professors who objected the Rockefeller’s plan were crucified by the media, removed from the American Medical Association (AMA), and stripped of their license to teach and practice medicine.

Sound familiar?

This was a major opportunity for Rockefeller who saw the ability to monopolize the oil, chemical and the medical industries at the same time.

The best thing about petrochemicals was that everything could be patented and sold for high profits.

Share this clip to spread awareness.","augmented_reality, big_pharma,new_tweet",,https://video.twimg.com/amplify_video/1703272955747127297/vid/avc1/432x282/_yP4i8h4XsOS0K07.mp4?tag=14
"11:07 PM, Jul 01, 2023",catsscareme2021,https://static.getdewey.co/upload/63cc33428e4d42ab8dfe3251363f84b0.jpg,https://twitter.com/catsscareme2021/,catsscareme2021,https://twitter.com/catsscareme2021/status/1675279903577501696,"The CDC has quickly removed a page from their website, which is now cached here https://t.co/BHmgTmhEFI admitting that more than 98 million Americans received one or more doses of polio vaccine within an 8-year span when a proportion of the vaccine was contaminated with a cancer… https://t.co/E9YrXSdnI9 https://t.co/ViLac9Rl8r","augmented_reality, big_pharma,new_tweet",,https://static.getdewey.co/upload/1af3f716802843ffadf2f4c8e2d414ce.jpg
"12:18 PM, Jun 20, 2023",MdBreathe,https://static.getdewey.co/upload/06fc44b17f704d799659aa13e1276188.jpg,https://twitter.com/MdBreathe/,MdBreathe,https://twitter.com/MdBreathe/status/1671130378394820612,"Ivermectin… how much did it cost you?  Did you buy it domestically, and if so, at a big box pharmacy, compounding pharmacy or feed store?  If you bought it from an international source, from which country?","augmented_reality, big_pharma,new_tweet",,
"11:34 AM, Jun 19, 2023",MdBreathe,https://static.getdewey.co/upload/4cf5d17049fc411c9002d9e77e12bdd7.jpg,https://twitter.com/MdBreathe/,MdBreathe,https://twitter.com/MdBreathe/status/1670757048898691074,"Why does your company not offer ivermectin? Ivermectin costs $0.02 per pill in Africa, 100x mark-up in America. https://t.co/yVZlcgvbdU https://t.co/5iKZbqFKo2","augmented_reality, big_pharma,new_tweet",,https://static.getdewey.co/upload/927a3c20c9c443c9b2287d95b08063ab.jpg
"09:47 AM, Jun 18, 2023",Baritone_Life,https://static.getdewey.co/upload/2a44ab2fd8484b11bec291e4fc8e0c49.jpg,https://twitter.com/Baritone_Life/,Baritone_Life,https://twitter.com/Baritone_Life/status/1670367630664912899,"@beatmastermatt @joerogan Trust the Science?

Coercion is not science.
Withholding data is not science.
Manipulating data is not science.
Cherry-picking studies is not science.
Social conditioning is not science.
Fear-mongering is not science.
Pharma propaganda is not science.

I'll keep talking.","science, augmented_reality, big_pharma,new_tweet",,
"07:25 AM, Jun 18, 2023",saifedean,https://static.getdewey.co/upload/fb21214537e64217926d536b20f95fd1.jpg,https://twitter.com/saifedean/,saifedean,https://twitter.com/saifedean/status/1670331956842594304,"It's interesting that it's completely out of the question for pharma cartel representatives or executives to deign to publicly debate their products.

Why debate serfs when you can just get government to force them to take your highly profitable poison? That's fiat privilege! https://t.co/gvWRuBscHk","augmented_reality, big_pharma,new_tweet",,
"10:41 PM, Oct 11, 2023",Inversionism,https://static.getdewey.co/upload/27332ffb0a904031862683a42621805e.png,https://twitter.com/Inversionism/,Inversionism,https://twitter.com/Inversionism/status/1712236905503592590,"The parallels to 9/11... 

Israel is as expected denying this warning, just as the Bush administration denied it.

There is really only 1 question any of you can ask yourself. 

Is the government capable of willfully ignoring intelligence and advanced warning of an attack,… https://t.co/cYugO5ohwm https://t.co/7Jc2skE2Yf",new_tweet,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
